3	25	2	\N
4	47	2	\N
5	88	2	\N
6	101	2	\N
7	102	2	\N
8	122	2	\N
9	138	2	\N
10	176	2	\N
11	179	2	\N
12	2	3	25
13	34	3	26
14	143	3	24
15	18	4	6
16	69	4	5
17	123	4	4
18	49	5	9
19	151	5	10
20	68	6	14
21	142	6	14
22	163	6	\N
23	196	6	14
24	60	7	30
25	104	7	31
26	119	7	29
27	160	7	28
28	8	8	63
29	129	8	62
30	170	8	60
31	184	8	61
32	86	9	\N
33	147	9	\N
34	54	10	51
35	153	11	4
36	172	11	5
37	188	11	6
38	57	12	27
39	66	12	27
40	115	12	27
41	148	12	27
42	197	12	27
43	63	13	67
44	81	13	66
45	171	13	65
46	1	15	19
47	6	15	19
48	10	15	19
49	14	15	19
50	17	15	19
51	19	15	19
52	24	15	19
53	31	15	19
54	42	15	19
55	48	15	19
56	52	15	19
57	58	15	19
58	67	15	19
59	73	15	19
60	99	15	19
61	100	15	19
62	133	15	19
63	139	15	19
64	140	15	19
65	155	15	19
66	164	15	19
67	174	15	19
68	177	15	19
69	187	15	19
70	191	15	19
71	39	14	51
72	69	14	51
73	104	14	51
74	112	14	51
75	123	14	51
76	134	14	51
77	190	14	51
78	197	14	51
79	75	16	21
80	94	16	22
81	120	16	23
82	85	17	\N
83	97	17	\N
84	109	17	\N
85	125	17	\N
86	165	17	\N
87	200	17	\N
88	82	18	58
89	35	19	7
90	98	19	8
91	93	21	52
92	152	21	53
93	183	21	54
94	30	25	64
95	45	25	64
96	112	25	64
97	135	25	64
98	27	23	68
99	80	23	68
100	105	23	69
101	154	23	69
102	2	26	63
103	117	26	62
104	189	26	60
105	190	26	61
106	43	27	28
107	65	27	29
108	91	27	30
109	141	27	31
110	72	28	\N
111	84	28	\N
112	96	28	\N
113	108	28	\N
114	110	28	\N
115	144	28	\N
116	9	29	57
117	16	29	1
118	74	29	\N
119	90	29	\N
120	150	29	55
121	169	29	2
122	186	29	55
123	199	29	57
124	77	30	11
125	162	30	12
126	194	30	13
127	22	31	50
128	106	31	50
129	83	32	27
130	181	32	27
131	192	32	27
132	7	33	\N
133	51	33	\N
134	62	33	\N
135	89	33	\N
136	146	33	\N
137	29	22	64
138	21	34	42
139	41	34	42
140	131	34	42
141	23	35	38
142	26	35	39
143	168	35	40
144	4	36	32
145	36	36	34
146	130	36	35
147	145	36	36
148	34	20	\N
149	40	20	\N
150	44	20	1
151	118	20	\N
152	166	20	2
153	195	20	\N
154	15	24	\N
155	132	24	\N
156	39	24	\N
157	156	24	\N
158	11	37	\N
159	53	37	\N
160	111	37	\N
161	149	37	\N
162	161	37	\N
163	185	37	\N
164	37	45	59
165	178	45	59
166	193	45	59
167	32	38	18
168	56	38	19
169	76	38	17
170	92	38	19
171	95	38	51
172	103	38	51
173	159	38	17
174	5	39	75
175	33	39	72
176	63	39	74
177	79	39	76
178	119	39	73
179	28	40	6
180	72	40	5
181	87	40	7
182	96	40	5
183	107	40	4
184	110	40	4
185	113	40	8
186	135	40	6
187	126	41	71
188	61	42	\N
189	70	42	\N
190	154	42	\N
191	3	43	\N
192	12	43	\N
193	13	43	\N
194	46	43	\N
195	55	43	\N
196	121	43	\N
197	124	43	\N
198	128	43	\N
199	157	43	\N
200	173	43	\N
201	38	44	43
202	64	44	49
203	78	44	44
204	114	44	47
205	116	44	41
206	127	44	48
207	137	44	70
208	175	44	45
209	180	44	46
210	198	44	16
211	64	46	\N
212	137	46	\N
213	158	46	\N
1	136	1	20
2	182	1	20
\.


