1	Venetur	1	2	t	f	f
2	Venetian Tur	1	3	t	f	f
4	Barbarian	3	4	f	t	f
5	Club Delirium	3	5	f	t	f
6	Inferno	3	6	f	t	f
7	Unicredit	4	5	t	f	f
8	Banco San Marco	4	3	t	f	f
9	Oceanic	5	4	t	f	f
10	Global	5	6	t	f	f
11	Santa Croce – Casa	6	1	t	f	f
12	Dorsoduro – Casa 1	6	4	t	f	f
13	Dorsoduro – Casa 2	6	4	t	f	f
14	Corpo de Bombeiros	7	2	t	t	t
15	Delegacia	8	3	t	t	t
16	Vino Veneza	9	5	t	f	f
17	Escola de ensino médio	10	5	t	f	f
18	Escola de italiano	11	6	t	f	f
19	Escola de primário	12	6	t	f	f
20	D’Alto Rampone	13	1	t	f	f
21	Droga 24	14	2	t	t	f
22	Vene++	14	3	t	t	f
23	Farmacia San Polo	14	6	t	t	f
24	Dorsoduro – Galeria	15	2	f	t	f
25	San Polo – Galeria	15	4	f	t	f
26	Castello – Galeria	15	6	f	t	f
27	Hospital	16	1	t	t	t
28	Royal Hotel	17	2	t	t	t
29	The Prophecy	17	3	t	t	t
30	Olive Tower	17	3	t	t	t
31	Obsidian Sanctum	17	3	t	t	t
32	Chiesa di San Simeone Piccolo	18	1	t	t	f
33	Chiesa dell Abbazia della Misericordia	18	2	t	t	f
34	Chiesa di San Giacomo di Rialto	18	3	t	t	f
35	Chiesa di San Barnaba	18	4	t	t	f
36	Basilica di San Marco	18	5	t	t	f
37	Chiesa di San Lorenzo	18	6	t	t	f
38	Gems of Venice	19	5	t	f	f
39	Ohmyblue	19	5	t	f	f
40	Cartier	19	3	t	f	f
41	Lan House	20	4	t	t	f
42	Sacca San Biagio	21	4	t	t	t
45	Prada	22	3	t	f	f
46	Versace	22	3	t	f	f
47	Gucci	22	3	t	f	f
48	Fendi	22	3	t	f	f
49	Castello	23	6	t	f	f
50	Loja de barcos	24	1	t	f	f
51	Universidade	25	4	t	t	f
52	Museo Ebraico Di Venezia	26	2	t	t	f
53	Leonardo da Vinci Museum	26	3	t	t	f
54	Museo Correr	26	5	t	t	f
58	Posto de gasolina para barco	28	4	t	t	t
59	Prefeitura	29	6	t	f	f
60	Vino Vero	30	1	t	t	f
61	Cantina do Spade	30	3	t	t	f
62	Pizza al Volo	30	4	t	t	f
63	Trattoria Dai Tosi	30	5	t	t	f
64	Rodoviária	31	1	t	t	t
65	Salão de Beleza - Dorsoduro	32	1	t	f	f
66	Salão de Beleza – Castello	32	4	t	f	f
67	Salão de Beleza - Santa Croce	32	6	t	f	f
68	Castello – Coop	33	4	t	t	f
69	Dorsoduro – Coop	33	6	t	t	f
70	Tabacaria	34	1	t	f	f
71	Tatoo Parlor	35	6	t	f	f
72	Beco Santa Croce (Prostituição)	36	1	t	f	f
73	Rodoviária (Prostituição)	36	1	t	f	f
74	Beco Dorsoduro (Prostituição)	36	4	t	f	f
75	Beco Cannaregio (Prostituição)	36	5	t	f	f
76	Beco Castello (Prostituição)	36	6	t	f	f
3	Casanova Grand Ball	2	3	f	f	f
43	Givenchy	22	2	t	f	f
44	Dolce & Gabbana	22	2	t	f	f
55	Piazza San Marco	27	3	t	t	f
56	Campo d’Arsenal	27	5	t	t	f
57	Parco Savorgnan	27	6	t	t	f
\.


