4	1	43	\N	\N	\N	\N	\N	\N	\N	f	6.0000000000
5	1	\N	43	\N	\N	\N	\N	\N	\N	f	0.1500000000
6	2	43	\N	\N	\N	\N	\N	\N	\N	f	6.0000000000
7	2	\N	43	\N	\N	\N	\N	\N	\N	f	0.1500000000
8	4	\N	\N	16	40	\N	\N	\N	\N	f	4.0000000000
9	4	\N	\N	40	\N	\N	\N	\N	\N	f	0.2500000000
10	4	\N	\N	\N	16	\N	\N	\N	\N	f	0.2500000000
11	5	\N	\N	16	40	\N	\N	\N	\N	f	4.0000000000
12	5	\N	\N	40	\N	\N	\N	\N	\N	f	0.2500000000
13	5	\N	\N	\N	16	\N	\N	\N	\N	f	0.2500000000
14	6	\N	\N	16	40	\N	\N	\N	\N	f	4.0000000000
15	6	\N	\N	40	\N	\N	\N	\N	\N	f	0.2500000000
16	6	\N	\N	\N	16	\N	\N	\N	\N	f	0.2500000000
17	7	\N	\N	\N	18	\N	\N	\N	\N	f	0.1000000000
18	8	\N	\N	\N	18	\N	\N	\N	\N	f	0.1000000000
19	11	\N	\N	\N	\N	\N	\N	\N	\N	f	0.2000000000
20	12	\N	\N	\N	\N	\N	\N	\N	\N	f	0.2000000000
21	13	\N	\N	\N	\N	\N	\N	\N	\N	f	0.2000000000
22	14	\N	\N	\N	\N	\N	\N	\N	\N	f	0.2000000000
23	15	\N	\N	\N	\N	\N	\N	\N	\N	f	0.2000000000
24	17	\N	\N	18	15	\N	\N	\N	\N	f	0.1000000000
25	18	\N	\N	\N	\N	\N	\N	\N	\N	f	0.2000000000
26	19	\N	\N	15	\N	\N	\N	\N	\N	f	0.1000000000
27	20	\N	\N	\N	\N	\N	\N	\N	\N	f	0.2000000000
28	21	\N	\N	\N	\N	\N	\N	\N	\N	f	0.7500000000
29	22	\N	\N	\N	\N	\N	\N	\N	\N	f	0.7500000000
30	23	\N	\N	\N	\N	\N	\N	\N	\N	f	0.7500000000
31	27	\N	\N	\N	\N	\N	\N	\N	\N	f	0.2000000000
32	28	\N	\N	\N	\N	\N	\N	\N	\N	f	0.0000000000
33	29	\N	\N	\N	\N	\N	\N	\N	\N	f	0.0000000000
34	30	\N	\N	\N	\N	\N	\N	\N	\N	f	0.0000000000
35	31	\N	\N	\N	\N	\N	\N	\N	\N	f	0.0000000000
36	32	\N	\N	\N	\N	\N	\N	\N	\N	f	0.8000000000
37	33	\N	\N	\N	\N	\N	\N	\N	\N	f	0.8000000000
38	34	\N	\N	\N	\N	\N	\N	\N	\N	f	0.8000000000
39	35	\N	\N	\N	\N	\N	\N	\N	\N	f	0.8000000000
40	36	\N	\N	\N	\N	\N	\N	\N	\N	f	3.0000000000
41	37	\N	\N	\N	\N	\N	\N	\N	\N	f	0.8000000000
42	41	\N	\N	\N	\N	\N	\N	\N	\N	f	0.5000000000
43	42	\N	\N	\N	\N	\N	\N	\N	\N	f	0.0000000000
44	43	\N	\N	\N	\N	\N	\N	\N	\N	f	1.2000000000
45	44	\N	\N	\N	\N	\N	\N	\N	\N	f	1.2000000000
46	45	\N	\N	\N	\N	\N	\N	\N	\N	f	1.2000000000
47	46	\N	\N	\N	\N	\N	\N	\N	\N	f	1.2000000000
48	47	\N	\N	\N	\N	\N	\N	\N	\N	f	1.2000000000
49	48	\N	\N	\N	\N	\N	\N	\N	\N	f	1.2000000000
50	49	\N	\N	\N	\N	\N	\N	\N	\N	f	0.5000000000
51	50	\N	\N	\N	\N	\N	\N	\N	\N	f	0.6000000000
52	51	\N	\N	\N	\N	\N	\N	\N	\N	f	0.4000000000
53	55	\N	\N	\N	\N	\N	\N	\N	\N	f	2.0000000000
54	58	\N	\N	\N	\N	\N	\N	\N	\N	f	0.0000000000
55	59	\N	\N	\N	\N	\N	\N	\N	\N	f	0.2000000000
56	60	\N	\N	\N	\N	\N	\N	\N	\N	f	1.3000000000
57	61	\N	\N	\N	\N	\N	\N	\N	\N	f	1.3000000000
58	62	\N	\N	\N	\N	\N	\N	\N	\N	f	0.8000000000
59	64	\N	\N	\N	\N	\N	\N	\N	\N	f	0.3000000000
60	3	\N	\N	\N	\N	\N	\N	\N	\N	f	0.0000000000
\.


