5	Heroism	1
23	Anger	1
28	Ambition	1
34	Discipline	1
3	Cowardice	2
19	Paranoia	2
26	Criticism	2
27	Stoicism	2
2	Selflessness	3
6	Sarcasm	3
8	Reliability	3
9	Honesty	3
10	Accuracy	3
12	Stinginess	3
15	Relaxation	3
16	Laziness	3
24	Procrastination	3
29	Compassion	3
30	Decision	3
33	Benevolence	3
1	Selfishness	4
4	Hedonism	4
7	Connection	4
14	Sex	4
22	Curiosity	4
25	Narcissism	4
31	Humor	4
11	Independence	1
13	Rank	1
17	Recognition	1
18	Provision for friends/family	1
20	Revenge	1
21	Greed	1
32	Innovation	1
35	Steal	3
\.


